Full name,abv
Bachelor of Science in Mathematics,
Bachelor of Science in Mechanical Engineering,
Bachelor of Science in Medical Technology,
Bachelor of Science in Metallurgical Engineering,
Bachelor of Science in Meteorology,
Bachelor of Science in Microbiology,
Bachelor of Science in Mining Engineering,
Bachelor of Science in Molecular Biology,
Bachelor of Science in Neuroscience,
Bachelor of Science in Nursing,
Bachelor of Science in Nutrition science,
Bachelor of Science in Software Engineering,
Bachelor of Science in Petroleum Engineering,
Bachelor of Science in Podiatry,
Bachelor of Science in Pharmacology,
Bachelor of Science in Pharmacy,
Bachelor of Science in Physical Therapy,
Bachelor of Science in Physics,
Bachelor of Science in Plant Science,
Bachelor of Science in Politics,
Bachelor of Science in Psychology,
Bachelor of Science in Public Safety,
Bachelor of Science in Physiology,
Bachelor of Science in Quantity Surveying Engineering,
Bachelor of Science in Radiologic Technology,
Bachelor of Science in Real-Time Interactive Simulation,
Bachelor of Science in Religion,
Bachelor of Science in Respiratory Therapy,
Bachelor of Science in Retail Management,
Bachelor of Science in Risk Management and Insurance,
Bachelor of Science in Science Education,
Bachelor of Science in Sports Management,
Bachelor of Science in Systems Engineering,
Bachelor of Secondary Education,
Bachelor of Physical Education,
Bachelor of Music in Jazz Studies,
Bachelor of Music in Composition,
Bachelor of Music in Performance,
Bachelor of Music in Theory,
Bachelor of Music in Music Education,
Bachelor of Science in Veterinary Technology,
Bachelor of Science in military and strategic studies,
Master of Accountancy,
Master of Accounting and Information Systems,
Master of Advanced Study,
Master of Agricultural Economics,
Master of Applied Economics,
Master of Applied Finance,
Master of Applied Mathematical Sciences,
Master of Applied Psychology,
Master of Applied Science,
Master of Architecture,
Master of Arts,
Master of Arts in Archives and Records Management,
Master of Arts in Bioethics,
Master of Arts in Liberal Studies,
Master of Arts in Museum Studies,
Master of Arts in Strategic Communication Management,
Master of Arts in Teaching,
Master of Athletic Training,
Master of Bioethics,
Master of Bioinformatics,
Master of Biotechnology,
Master of Business Administration,
Master of Business Administration Management of Technology,
Master of Business,
Master of Business Economics,
Master of Business Engineering,
Master of Business Informatics,
Master of Chemistry,
Master of City Planning,
Master of Commerce,
Master of Community Health,
Master of Computational Finance,
Master of Computer Applications,
Master of Computer Science,
Master of Communication,
Master of Corporate Finance,
Master of Counselling ,
Master of Criminal Justice,
Master in Creative Technologies,
Master of Design,
Master of Development Economics,
Master of Divinity,
Master of Economics,
Master of Education,
Master of Educational Technology,
Master of Engineering,
Master of Engineering Management,
