,Skills
42,"['IT Skills    • Extracted & evaluated data from sales to measure effectiveness of current marketing activities and    provides updates to senior management C4C (CRM)    • Kept up-to-date on market trends and understood future trends & contribute MS (Word, Excel &    PowerPoint) towards projects    Power & Infrastructure equipment   ', 'racked the market trend for Passenger Car, Commercial Vehicle, Tractor, Oil & Gas, Personal Details    • Used to manage Lead Management System which includes verifying leads & assigned it to the    concern Sales Person   ', 'icrosoft office, S', 'icrosoft Excel   ']"
43,[' Business development    • Communication skills    • Computer skills    • Tally (1 year)    • Marketing    • Microsoft Excel    • Negotiation    • Sales ']
44,"['AutoCAD.  ', 'Microsoft Office  ', 'Operating System: Windows xp / 7  ']"
45,['oogle Analytics (7 years)    • Google ads (7 years)    • Seo (7 years)    • Graphic Designing (7 years)    • Wordpress Web Development (6 years)    • Digital Marketing    • HTML    • Marketing    • Photoshop    • SEO    • Social Media Management    • Social Media Marketing    • Google Adwords    • SEM    • Email marketing   ']
46,"[' NodeJS, ReactJS    • Django, RestFrameWork    • C, C++, Java, Python    • jQuery, BootStrap4    • Unix, Bash, Shell    • Xml, Sqlite3, Mysql    • Git, Github, BitBucket    • HTML, CSS, JavaScript    • Nginx, Apache, OpenVPN    • PHP, SQL    • Docker    • CSS    • Javascript    • Git    • PHP    • MYSQL  ']"
47,[' IT Skills    • Marketing    • Sales    • Business development ']
48,"[' Auto CAD (All Versions) ', ' MS Office ', ' Good knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware  and software. ']"
49,['IT Skills    • Html5    • CSS    • Javascript    • React Js    • Photoshop    • INDESIGN    • ES6  ']
50,"[' Experience in Frameworks - Laravel.\xa0', ' Experience in Front-End development using HTML, CSS, Bootstrap, JavaScript, JQuery and\xa0  JavaScript Frameworks.\xa0', ' PHP, Laravel, Flutter, HTML5, CSS3, Flex Concept, Bootstrap, JavaScript,\xa0  JQuery, Ajax.\xa0  \xa0  • DBMS: MySQL.\xa0  \xa0  • Awareness: Web Application Testing, Machine learning, Blockchain, IoT.\xa0', ' iPage, CPanel, HTML, CSS, Javascript, Jquery, Bootstrap, PHP, Laravel, Modular Approach\xa0  in Laravel, MySQL, Apache server, XAMPP, FTP, Git, Trello, Postman. ']"
51,"[' Auto Cad Drawing & Design ', ' MS Word, MS Excel. MS Power Point, Email, Internet ']"
52,"['S: TALLY VERSION 9.1, FACT, ACCORD, EX NEXT\xa0  GENERATION ACCREDITED BY CMC LIMITED.\xa0  MS OFFICE, WORD EXCEL POWER POINT.    • Bilingual    • Google    • Sales    • Marketing    • Communication skills (2 years)    • Business development    • Negotiation    • Computer skills    • Customer service    • Microsoft Excel (1 year)  ']"
53,[]
54,[' IT Skills    • node.js (Less than 1 year)    • Bootstrap (Less than 1 year)    • CSS (Less than 1 year)    • JavaScript    • WordPress    • SQL (Less than 1 year)    • Html (Less than 1 year)    • Html5    • Microsoft Excel ']
55,[]
56,[' IT Skills    • Sales    • Marketing    • Business development    • Negotiation    • Microsoft Excel ']
57,['Skills / IT Skills    • IT Skills: Core Programming: Java/J2EE Technology: Struts2.0 JSP Servlets JQuery JavaScript Unix  Spring core Oracle Informatica HTML5 CSS3 Ant Maven XML SQL Cold Fusion Jenkins Spring Boot  Basics of Spring and Hibernate Azure fundamentals T']
58,"['ls / IT Skills    • PROGRAMMING LANGUAGES    • 1) ASP.NET 4.0,4.5    • 2) ANGULARJS    • 3) C# .NET 4.0,4.5    • 4) WPF    • 5) Web API    • 6) Bootstrap    • 7) JavaScript /jQuery    • 8) Web API calls    • 9) HTML    • 10) WinForms, WPF    • 11) SQL server 2008/2012    • 12) MySQL /PhpMyAdmin    • ']"
59,['ills / IT Skills    • Strategic Marketing    • Promotional marketing    • Event Management    • Product Launch    • MarCom Management    • Media collaterals    • Online & Offline advertisement    • Agencies & Vendor Management    • Industrial Marketing    • B2B Marketing    • Brand Management    • Marketing Management    ']
